detector,period,scope,n_treatment,n_control,delta,ci_low,ci_high,p_value,material,is_primary,family,view,outlet
binoculars,pre,band_600-inf,2678,3144,0.04421452148977534,0.014414433433670305,0.07376858335376184,0.0035907500115080894,False,False,category,all,(category)
binoculars,pre,band_pooled,11216,11216,-0.1627519893281749,,,,True,False,category,all,(category)
binoculars,pre,year_2019,1830,2855,-0.5841593216770502,-0.6105343898634359,-0.5572631850937384,3.315992438079178e-250,True,False,pre_year,all,(category)
binoculars,pre,year_2020,2641,2839,-0.09887621687377857,-0.1297350329076573,-0.06855418503483494,2.386411743050927e-10,False,False,pre_year,all,(category)
binoculars,pre,year_2021,2942,2890,-0.0891885566159123,-0.11815908898449606,-0.059190159108390844,3.682765571871302e-09,False,False,pre_year,all,(category)
binoculars,pre,year_2022,3803,2632,-0.05582868508064742,-0.08387945307136348,-0.02772560176856053,0.00013705350896271027,False,False,pre_year,all,(category)
binoculars,post,post_all,5608,5608,-0.08744287379350058,-0.10896823333311285,-0.06561688465097751,1.0606089758475124e-15,False,False,outlet,own_pre,rte
binoculars,post,year_2022,69,5608,-0.02556389422977523,-0.15659642539643162,0.10906494862411859,0.7147462427184785,False,False,outlet,own_pre,rte
binoculars,post,year_2023,1381,5608,-0.043324112341839194,-0.07673641849184104,-0.010373918866293278,0.012497965361978518,False,False,outlet,own_pre,rte
binoculars,post,year_2024,1380,5608,-0.08059513841510058,-0.11421849480038869,-0.04728778698649959,3.397403819598365e-06,False,False,outlet,own_pre,rte
binoculars,post,year_2025,1960,5608,-0.0969739839587761,-0.1265717046893651,-0.06767415900026198,1.5465469207260286e-10,False,False,outlet,own_pre,rte
binoculars,post,year_2026,818,5608,-0.15586164891928755,-0.19694554735812267,-0.11382883537838022,5.500112778705803e-13,True,False,outlet,own_pre,rte
binoculars,post,band_0-150,576,649,-0.013193374422187931,-0.07815763567882215,0.05185528483992461,0.6899311731792928,False,False,outlet,own_pre,rte
binoculars,post,band_0-150_year_2022,9,649,0.01078582434514641,-0.3367659647320664,0.3812788906009244,0.9563494964153914,False,False,outlet,own_pre,rte
binoculars,post,band_0-150_year_2023,114,649,0.026464466250371688,-0.0894236747492769,0.142272186629903,0.6520992141528333,False,False,outlet,own_pre,rte
binoculars,post,band_0-150_year_2024,163,649,0.022809986104152635,-0.07960571714860996,0.12256042802990906,0.6523636294790293,False,False,outlet,own_pre,rte
binoculars,post,band_0-150_year_2025,217,649,-0.03708647831119127,-0.12458124161240618,0.05358900257752084,0.41305340411615166,False,False,outlet,own_pre,rte
binoculars,post,band_0-150_year_2026,73,649,-0.08744749562023768,-0.23123139920214444,0.057570128965531646,0.22027588314749547,False,False,outlet,own_pre,rte
binoculars,post,band_150-300,1239,1522,-0.07456418055763248,-0.11749724779107394,-0.03115863753461473,0.0007393008956285233,False,False,outlet,own_pre,rte
binoculars,post,band_150-300_year_2022,28,1522,-0.06809648958137793,-0.2388809367373756,0.10113807020837248,0.5365494110686708,False,False,outlet,own_pre,rte
binoculars,post,band_150-300_year_2023,303,1522,-0.07796541809240054,-0.14798245100462745,-0.008229466179206639,0.031873334704346036,False,False,outlet,own_pre,rte
binoculars,post,band_150-300_year_2024,323,1522,-0.0057301985736545324,-0.07499532145661367,0.06374845913190641,0.8713781459630673,False,False,outlet,own_pre,rte
binoculars,post,band_150-300_year_2025,414,1522,-0.07869127197242376,-0.14220974817015491,-0.014885067321792466,0.01396267899091274,False,False,outlet,own_pre,rte
binoculars,post,band_150-300_year_2026,171,1522,-0.18962430166524502,-0.276385142663931,-0.10259642206699413,4.682418911823877e-05,True,False,outlet,own_pre,rte
binoculars,post,band_300-600,2097,2088,-0.11927182967092198,-0.15403200978591927,-0.08480420738804022,2.3679316792499284e-11,False,False,outlet,own_pre,rte
binoculars,post,band_300-600_year_2022,16,2088,-0.07590996168582376,-0.36955818965517245,0.22965906369731773,0.6005671275160499,False,False,outlet,own_pre,rte
binoculars,post,band_300-600_year_2023,553,2088,-0.06874207561680279,-0.1209683726174887,-0.015853962711230296,0.012807342436327187,False,False,outlet,own_pre,rte
binoculars,post,band_300-600_year_2024,479,2088,-0.14514393812140558,-0.20241428302897957,-0.09008275742087202,7.003718376871924e-07,False,False,outlet,own_pre,rte
binoculars,post,band_300-600_year_2025,741,2088,-0.13263116529904184,-0.180993796567753,-0.08577450478539408,7.813983057578677e-08,False,False,outlet,own_pre,rte
binoculars,post,band_300-600_year_2026,308,2088,-0.13987162263024333,-0.20981730793153208,-0.0679300704085187,7.242185536253654e-05,False,False,outlet,own_pre,rte
binoculars,post,band_600-inf,1696,1349,-0.12072840468830859,-0.1610670945983748,-0.07975416582164284,9.990198052526959e-09,False,False,outlet,own_pre,rte
binoculars,post,band_600-inf_year_2022,16,1349,0.18217197924388429,-0.08683052260934027,0.43691160118606354,0.20986843369339392,True,False,outlet,own_pre,rte
binoculars,post,band_600-inf_year_2023,411,1349,-0.021161931249425114,-0.08378027158984126,0.04232097669896957,0.5154865007244555,False,False,outlet,own_pre,rte
